timestamp,first_cell_year,was_smartphone,birth_year,generation
"2022/02/09 4:29:04 PM EST","2006","No","1994","Millennial"
"2022/02/09 4:30:07 PM EST","2012","No","2003","Gen Z"
"2022/02/09 4:31:56 PM EST","2016","Yes","2003","Gen Z"
"2022/02/09 4:34:13 PM EST","1998","No","1982","Millennial"
"2022/02/09 4:37:46 PM EST","2011","No","1999","Gen Z"
"2022/02/09 4:42:00 PM EST","2022","No","1999","Gen Z"
"2022/02/09 4:46:38 PM EST","2006","No","1987","Millennial"
"2022/02/09 4:48:22 PM EST","2005","No","1988","Millennial"
"2022/02/09 4:54:42 PM EST","2007","No","1997","Millennial"
"2022/02/09 4:57:45 PM EST","2005","No","1996","Millennial"
"2022/02/09 4:58:37 PM EST","2011","No","2000","Gen Z"
"2022/02/09 5:01:10 PM EST","2007","No","1995","Millennial"
"2022/02/09 5:01:44 PM EST","2014","No","1998","Gen Z"
"2022/02/09 5:08:53 PM EST","2004","No","1989","Millennial"
"2022/02/09 5:11:44 PM EST","2001","No","1983","Millennial"
"2022/02/09 5:12:30 PM EST","2012","No","1999","Gen Z"
"2022/02/09 5:14:16 PM EST","2007","No","1990","Millennial"
"2022/02/09 5:15:01 PM EST","2006","No","1992","Millennial"
"2022/02/09 5:17:07 PM EST","2012","Yes","1999","Gen Z"
"2022/02/09 5:18:51 PM EST","1993","No","1970","Child of the 80s"
"2022/02/09 5:21:39 PM EST","2018","No","2006","Gen Z"
"2022/02/09 5:27:22 PM EST","2012","No","2001","Gen Z"
"2022/02/09 5:31:00 PM EST","2010","No","1999","Gen Z"
"2022/02/09 5:32:11 PM EST","2010","No","2000","Gen Z"
"2022/02/09 5:36:03 PM EST","2013","Yes","2002","Gen Z"
"2022/02/09 5:39:52 PM EST","2017","Yes","2003","Gen Z"
"2022/02/09 5:43:12 PM EST","2009","No","1999","Gen Z"
"2022/02/09 5:43:25 PM EST","2015","Yes","2003","Gen Z"
"2022/02/09 5:43:32 PM EST","2010","No","1998","Millennial"
"2022/02/09 5:46:26 PM EST","2007","No","1994","Millennial"
"2022/02/09 5:48:55 PM EST","2015","Yes","2004","Gen Z"
"2022/02/09 5:51:04 PM EST","2010","No","1999","Gen Z"
